pressure,loading
1.0,0.0807
54.17,4.179344
107.34,7.918028
160.51,11.36474
213.68,14.500876
266.85,17.406022
320.02,19.991514
373.19,22.62891
426.36,25.24538
479.53,27.899994
532.7,30.647942
585.87,33.427438
639.04,36.452696
692.21,39.799926
745.38,43.062244
798.55,46.877606
851.72,50.932492
904.0,55.403328
904.89,55.749696
934.43,59.046052
958.06,61.35626
964.86,62.36684
995.29,66.515166
1011.23,68.161526
1025.71,71.116656
1056.14,75.628284
1064.4,78.105772
1086.57,82.4791
1117.0,89.452528
1117.57,90.1071
1147.43,99.276214
1170.74,106.062728
1177.86,108.43844
1208.29,119.626772
1223.91,123.954588
1238.71,128.859648
1269.14,138.42476
1277.09,141.817288
1299.57,147.42614
1320.0,152.9700485
1330.0,156.4739051
1350.0,174.2995606
1360.0,180.1744495
1373.0,210.9239566
1385.0,234.8028192
1390.0,283.5508919
1410.0,303.1926232
1421.86,306.929358
1467.29,311.950416
1512.71,313.46173
1558.14,315.554332
1596.11,316.85891
1649.0,318.22692
1649.28,318.403412
1702.45,319.891334
1755.62,321.122778
1808.79,322.586302
1861.96,323.424646
1915.13,324.271544
1968.3,325.138024
2021.47,325.943754
2074.64,326.642054
2127.81,327.83499
2180.98,328.103862
2234.15,328.669194
2287.32,329.881376
2340.49,330.094634
2393.66,329.881442
2446.83,331.302502
2500.0,331.664756
