pressure,loading
1.0,0.00066
2128.638298,1.20156
4256.276596,2.355
6383.914894,3.51708
8511.553191,4.70156
10639.19149,5.98984
12766.82979,7.138
14894.46809,8.4426
17022.10638,9.7372
19149.74468,11.04456
21277.38298,12.14526
23405.02128,13.55978
25532.65957,14.83202
27660.29787,16.03742
29787.93617,17.59734
31915.57447,18.65918
34043.21277,19.84878
36170.85106,21.38318
38298.48936,22.44076
40426.12766,23.86452
42553.76596,25.56264
44681.40426,26.77458
46809.04255,28.25786
48936.68085,29.61226
51064.31915,31.44976
53191.95745,33.39236
55319.59574,35.10864
57447.23404,37.11496
59574.87234,38.56146
61702.51064,40.87478
63830.14894,42.66998
65957.78723,45.6303
68085.42553,47.20326
70213.06383,49.33916
72340.70213,52.10348
74468.34043,55.409
76595.97872,57.92178
78723.61702,61.2658
80851.25532,66.04864
82978.89362,68.36092
84030.0,71.55593067
84076.08696,81.02965867
84352.6087,99.54806533
84583.04348,123.4216947
84813.47826,145.527048
84997.82609,165.5527693
85175.25,209.575844
85669.46809,233.0130055
85924.78723,239.7439815
86339.68085,250.0323445
86371.59574,255.290969
86403.51064,262.340253
86595.0,269.839442
86782.609,277.710828
88465.217,281.539714
91489.44681,285.19096
93617.08511,289.6166
95744.7234,290.34846
100000.0,293.22328
105000.0,297.70828
109500.0,299.63424
114000.0,301.07856
118500.0,303.7098
123000.0,305.81964
127500.0,307.0466
132000.0,308.29408
136500.0,310.06332
141000.0,311.53506
145500.0,313.45848
150000.0,313.42098
